Date,SalesRep,Region,Product,Color,Units,Revenue
2015-11-24,Jessica,West,Bellen,Red,3,71.85
2015-11-25,Nabil,South,Aspen,Blue,12,231.0
2015-11-25,Julie,West,Sunbell,Red,3,78.0
2015-11-25,Mike,South,Quad,Rainbow,2,69.0
2015-11-25,Adam,West,Quad,Red,3,102.0
2015-11-25,Mike,West,Bellen,Rainbow,21,581.55
2015-11-25,Julie,West,Sunshine,Red,1,22.95
2015-11-26,Julie,South,Bellen,Rainbow,2,48.9
2015-11-26,Mike,West,Quad,Red,3,102.0
2015-11-26,Nabil,West,Sunshine,Red,3,62.85
2015-11-26,Nicole,West,Aspen,Blue,1,28.0
2015-11-26,Mike,South,Quad,Clear,3,102.0
2015-11-26,Jessica,South,Bellen,Purple,2,48.9
2015-11-26,Nabil,West,Bellen,Red,2,48.9
2015-11-26,Julie,South,Sunshine,Clear,1,22.95
2015-11-27,Julie,West,Carlota,Red,1,25.95
2015-11-27,Jessica,West,Aspen,Red,2,53.0
2015-11-27,Mike,South,Sunshine,Rainbow,22,419.9
2015-11-27,Mike,South,Sunbell,Red,1,27.0
2015-11-27,Adam,East,Quad,Clear,2,67.0
2015-11-27,Julie,West,Bellen,Blue,19,526.45
2015-11-28,Mike,East,Sunbell,Red,2,49.0
2015-11-28,Mike,South,Aspen,Clear,2,51.0
2015-11-28,Jessica,West,Aspen,Rainbow,23,461.85
2015-11-28,Nabil,West,Sunshine,Red,3,62.85
2015-11-28,Mike,East,Doublers,Rainbow,2,154.9
2015-11-29,Nicole,West,Sunshine,Rainbow,3,62.85
2015-11-29,Nabil,South,Doublers,Red,11,238.18
2015-11-29,Mike,West,Bellen,Rainbow,2,61.0
2015-11-30,Julie,South,Aspen,Rainbow,2,51.0
2015-11-30,Julie,South,Bellen,Red,3,71.85
2015-11-30,Adam,South,Sunbell,Blue,2,51.0
2015-11-30,Adam,West,Carlota,Blue,1,25.95
2015-12-01,Adam,East,Quad,Clear,7,234.0
2015-12-01,Mike,West,Bellen,Blue,2,48.9
2015-12-01,Julie,West,Carlota,Red,20,439.0
2015-12-01,Julie,West,Aspen,Purple,1,23.0
2015-12-01,Julie,South,Sunbell,Blue,2,51.0
2015-12-01,Nabil,West,Bellen,Rainbow,1,25.95
2015-12-02,Jessica,South,Carlota,Rainbow,2,48.9
2015-12-02,Julie,West,Bellen,Purple,1,25.95
2015-12-02,Julie,East,Quad,Blue,20,611.0
2015-12-02,Mike,East,Sunshine,Red,1,21.95
2015-12-03,Julie,East,Bellen,Blue,1,25.95
2015-12-03,Nabil,South,Sunshine,Clear,3,62.85
2015-12-03,Julie,West,Sunshine,Blue,2,42.9
2015-12-04,Adam,East,Sunbell,Red,1,27.0
2015-12-04,Mike,East,Sunbell,Red,2,51.0
2015-12-04,Adam,West,Sunbell,Red,22,504.6
2015-12-05,Mike,West,Bellen,Red,1,25.95
2015-12-05,Nicole,East,Quad,Red,3,102.0
2015-12-05,Mike,West,Quad,Clear,3,102.0
2015-12-06,Jessica,West,Bellen,Red,2,48.9
2015-12-06,Jessica,West,Sunbell,Clear,1,28.0
2015-12-06,Julie,West,Quad,Clear,3,105.0
2015-12-06,Adam,East,Carlota,Purple,1,24.95
2015-12-06,Julie,West,Aspen,Clear,2,53.0
2015-12-06,Mike,South,Sunbell,Blue,2,51.0
2015-12-06,Mike,East,Quad,Clear,1,36.0
2015-12-06,Adam,West,Sunshine,Rainbow,3,62.85
2015-12-06,Adam,West,Bellen,Blue,2,48.9
2015-12-06,Julie,West,Sunbell,Rainbow,1,27.0
2015-12-06,Adam,East,Quad,Blue,3,99.0
2015-12-06,Nabil,West,Bellen,Blue,2,48.9
2015-12-06,Julie,West,Quad,Purple,3,60.0
2015-12-07,Nabil,West,Quad,Clear,1,37.0
2015-12-07,Adam,West,Bellen,Red,3,71.85
2015-12-08,Adam,West,Bellen,Purple,1,33.0
2015-12-08,Julie,West,Aspen,Purple,2,45.0
2015-12-08,Jessica,South,Carlota,Clear,1,25.95
2015-12-08,Julie,West,Sunbell,Red,1,28.0
2015-12-09,Adam,West,Sunshine,Clear,3,62.85
2015-12-09,Jessica,West,Quad,Purple,1,22.0
2015-12-09,Mike,West,Doublers,Clear,2,50.0
2015-12-10,Nicole,South,Aspen,Red,2,45.0
2015-12-10,Mike,East,Sunbell,Rainbow,2,58.0
2015-12-10,Adam,East,Sunshine,Clear,3,59.85
2015-12-11,Mike,South,Aspen,Clear,3,66.0
2015-12-11,Nicole,South,Carlota,Rainbow,1,25.95
2015-12-11,Nicole,West,Doublers,Rainbow,2,162.9
2015-12-11,Mike,East,Quad,Blue,3,102.0
2015-12-11,Julie,West,Doublers,Red,1,26.5
2015-12-11,Adam,East,Aspen,Rainbow,1,22.0
2015-12-11,Adam,West,Doublers,Blue,3,73.5
2015-12-11,Nicole,West,Quad,Blue,1,37.0
2015-12-12,Nabil,East,Quad,Clear,1,35.0
2015-12-12,Mike,East,Bellen,Blue,1,31.0
2015-12-12,Nabil,South,Bellen,Red,1,25.95
2015-12-12,Julie,South,Carlota,Clear,3,71.85
2015-12-13,Julie,East,Sunbell,Rainbow,4,99.0
2015-12-13,Nicole,West,Carlota,Clear,2,48.9
2015-12-13,Nabil,West,Carlota,Rainbow,2,48.9
2015-12-13,Adam,West,Quad,Rainbow,1,37.0
2015-12-13,Nabil,West,Sunbell,Clear,1,28.0
2015-12-13,Mike,East,Doublers,Rainbow,3,230.85
2015-12-13,Jessica,West,Doublers,Blue,12,914.4
2015-12-14,Mike,South,Sunbell,Red,3,78.0
2015-12-14,Julie,East,Sunbell,Red,2,51.0
2015-12-14,Mike,South,Quad,Red,1,36.0
2015-12-14,Nabil,West,Bellen,Blue,2,48.9
2015-12-14,Nabil,West,Quad,Purple,2,39.0
2015-12-14,Nicole,West,Doublers,Rainbow,13,293.29
2015-12-15,Mike,West,Quad,Blue,2,39.0
2015-12-15,Jessica,East,Sunbell,Rainbow,3,85.5
2015-12-16,Mike,East,Doublers,Blue,1,78.95
2015-12-16,Nabil,South,Doublers,Blue,3,73.5
2015-12-16,Jessica,West,Sunshine,Rainbow,2,42.9
2015-12-16,Nabil,West,Carlota,Clear,4,94.8
2015-12-16,Jessica,East,Quad,Rainbow,3,99.0
2015-12-16,Nabil,East,Doublers,Rainbow,3,70.5
2015-12-16,Jessica,South,Bellen,Red,18,498.9
2015-12-16,Mike,South,Sunshine,Purple,4,82.8
2015-12-16,Jessica,West,Aspen,Red,3,75.0
2015-12-17,Mike,East,Sunbell,Rainbow,1,29.5
2015-12-17,Nicole,South,Quad,Rainbow,4,135.0
2015-12-17,Adam,West,Quad,Rainbow,1,22.0
2015-12-18,Nicole,South,Sunshine,Rainbow,3,62.85
2015-12-18,Mike,West,Carlota,Blue,3,71.85
2015-12-18,Jessica,East,Carlota,Purple,1,24.95
2015-12-19,Jessica,East,Bellen,Purple,4,90.8
2015-12-19,Nicole,West,Bellen,Purple,3,93.0
2015-12-19,Julie,West,Quad,Clear,1,21.0
2015-12-19,Adam,East,Sunshine,Purple,1,21.95
2015-12-19,Julie,South,Bellen,Red,3,71.85
2015-12-20,Julie,South,Sunbell,Red,3,78.0
2015-12-20,Adam,East,Aspen,Red,2,51.0
2015-12-20,Julie,West,Sunbell,Red,2,58.0
2015-12-20,Julie,South,Doublers,Rainbow,2,48.0
2015-12-20,Nabil,West,Carlota,Blue,2,48.9
2015-12-21,Nabil,West,Quad,Rainbow,2,71.0
2015-12-21,Adam,South,Aspen,Purple,3,75.0
2015-12-21,Mike,West,Aspen,Clear,3,63.0
2015-12-22,Mike,East,Sunshine,Purple,3,59.85
2015-12-22,Mike,South,Carlota,Blue,2,48.9
2015-12-22,Nicole,South,Sunshine,Rainbow,3,62.85
2015-12-22,Julie,West,Bellen,Rainbow,13,286.4
2015-12-22,Mike,West,Aspen,Blue,3,75.0
2015-12-22,Julie,West,Sunshine,Rainbow,18,344.1
2015-12-23,Mike,East,Sunbell,Red,4,113.0
2015-12-23,Nabil,South,Sunshine,Clear,4,82.8
2015-12-24,Jessica,South,Bellen,Blue,17,373.6
2015-12-24,Adam,West,Doublers,Blue,4,322.8
2015-12-25,Mike,West,Sunshine,Clear,3,62.85
2015-12-25,Jessica,West,Carlota,Purple,2,48.9
2015-12-25,Julie,South,Sunbell,Rainbow,3,75.0
2015-12-26,Nicole,West,Quad,Red,2,71.0
2015-12-26,Nabil,South,Sunbell,Blue,3,82.5
2015-12-26,Jessica,East,Bellen,Blue,1,24.95
2015-12-26,Mike,South,Aspen,Clear,3,75.0
2015-12-26,Adam,West,Doublers,Purple,1,26.5
2015-12-27,Jessica,West,Aspen,Clear,1,24.0
2015-12-27,Julie,East,Doublers,Rainbow,3,70.5
2015-12-27,Nabil,South,Aspen,Blue,13,250.0
2015-12-27,Mike,West,Aspen,Blue,16,322.2
2015-12-28,Nicole,West,Sunbell,Rainbow,3,85.5
2015-12-28,Julie,East,Sunshine,Clear,3,59.85
2015-12-28,Jessica,East,Carlota,Clear,4,94.8
2015-12-28,Mike,West,Quad,Red,3,60.0
2015-12-28,Julie,South,Bellen,Rainbow,1,25.95
2015-12-29,Nicole,South,Sunbell,Red,1,28.0
2015-12-29,Nicole,West,Sunbell,Blue,1,27.0
2015-12-29,Adam,East,Doublers,Red,2,48.0
2015-12-29,Nabil,South,Bellen,Blue,2,48.9
2015-12-29,Julie,West,Sunshine,Purple,3,62.85
2015-12-29,Nabil,South,Bellen,Blue,3,90.0
2015-12-30,Mike,East,Sunbell,Red,3,75.0
2015-12-31,Mike,South,Quad,Clear,2,39.0
2015-12-31,Nabil,South,Aspen,Red,1,23.0
2015-12-31,Mike,South,Quad,Red,3,102.0
2015-12-31,Julie,South,Sunbell,Purple,2,56.0
2015-12-31,Mike,South,Carlota,Clear,2,48.9
2015-12-31,Mike,West,Quad,Red,1,37.0
2015-12-31,Adam,East,Aspen,Blue,20,440.0
2016-01-01,Mike,East,Carlota,Red,1,25.95
2016-01-01,Julie,West,Carlota,Rainbow,2,48.9
2016-01-01,Mike,West,Quad,Rainbow,3,60.0
2016-01-01,Julie,East,Carlota,Rainbow,2,46.9
2016-01-01,Mike,West,Sunbell,Clear,2,51.0
2016-01-01,Mike,West,Doublers,Rainbow,2,162.9
2016-01-02,Mike,South,Doublers,Rainbow,2,158.9
2016-01-02,Adam,West,Aspen,Clear,1,24.0
2016-01-02,Mike,South,Bellen,Blue,24,664.2
2016-01-02,Nabil,South,Quad,Red,2,69.0
2016-01-02,Nicole,West,Carlota,Blue,2,48.9
2016-01-02,Jessica,West,Sunshine,Red,3,62.85
2016-01-06,Nicole,West,Bellen,Blue,2,63.0
2016-01-06,Mike,East,Aspen,Clear,1,22.0
2016-01-06,Jessica,South,Bellen,Purple,1,32.0
2016-01-06,Mike,South,Bellen,Blue,24,664.2
2016-01-06,Nicole,East,Quad,Red,1,36.0
2016-01-07,Nicole,East,Sunbell,Clear,3,72.0
2016-01-07,Adam,West,Sunshine,Red,1,22.95
2016-01-08,Mike,East,Quad,Red,2,69.0
2016-01-08,Nabil,West,Bellen,Blue,3,71.85
2016-01-08,Jessica,East,Sunshine,Clear,2,40.9
2016-01-08,Mike,East,Quad,Red,4,135.0
2016-01-08,Nabil,West,Sunbell,Red,2,53.0
2016-01-08,Nabil,South,Doublers,Purple,2,48.0
2016-01-08,Mike,West,Quad,Clear,1,22.0
2016-01-09,Mike,West,Quad,Clear,2,71.0
2016-01-09,Nicole,West,Sunbell,Rainbow,1,30.5
2016-01-09,Julie,South,Sunshine,Clear,2,42.9
2016-01-09,Nabil,West,Sunshine,Red,1,22.95
2016-01-09,Julie,West,Bellen,Purple,10,232.5
2016-01-09,Mike,West,Quad,Rainbow,2,69.0
2016-01-09,Mike,East,Bellen,Red,3,68.85
2016-01-10,Mike,South,Aspen,Clear,3,63.0
2016-01-10,Nicole,South,Quad,Red,2,69.0
2016-01-10,Nabil,East,Carlota,Clear,3,71.85
2016-01-10,Jessica,West,Quad,Red,3,105.0
2016-01-11,Adam,West,Quad,Red,2,39.0
2016-01-11,Jessica,West,Sunbell,Red,21,551.73
2016-01-11,Julie,South,Doublers,Red,2,48.0
2016-01-11,Julie,East,Doublers,Red,7,534.65
2016-01-11,Nicole,West,Carlota,Blue,3,71.85
2016-01-12,Julie,South,Sunshine,Clear,16,306.2
2016-01-12,Mike,South,Bellen,Red,2,48.9
2016-01-12,Julie,West,Aspen,Blue,2,51.0
2016-01-13,Nabil,East,Sunbell,Red,3,72.0
2016-01-13,Julie,West,Aspen,Red,1,28.0
2016-01-13,Julie,West,Bellen,Blue,2,48.9
2016-01-13,Adam,South,Bellen,Red,4,119.0
2016-01-13,Jessica,West,Bellen,Red,1,32.0
2016-01-13,Julie,West,Bellen,Rainbow,9,209.55
2016-01-14,Julie,West,Quad,Purple,2,71.0
2016-01-14,Adam,East,Sunbell,Rainbow,2,51.0
2016-01-14,Mike,South,Sunbell,Rainbow,3,75.0
2016-01-14,Julie,West,Doublers,Red,2,50.0
2016-01-14,Jessica,West,Sunshine,Red,2,42.9
2016-01-14,Julie,West,Bellen,Clear,3,71.85
2016-01-15,Julie,East,Carlota,Clear,1,24.95
2016-01-15,Nicole,West,Doublers,Clear,2,50.0
2016-01-15,Jessica,South,Doublers,Rainbow,2,48.0
2016-01-15,Adam,West,Quad,Clear,11,358.3
2016-01-15,Mike,West,Bellen,Clear,3,90.0
2016-01-16,Nicole,West,Carlota,Rainbow,2,48.9
2016-01-16,Jessica,West,Carlota,Red,3,71.85
2016-01-16,Mike,East,Doublers,Purple,1,82.95
2016-01-16,Adam,South,Sunbell,Clear,1,30.5
2016-01-16,Nicole,West,Aspen,Clear,1,28.0
2016-01-16,Mike,West,Quad,Rainbow,3,57.0
2016-01-16,Mike,East,Quad,Rainbow,1,35.0
2016-01-17,Nabil,South,Bellen,Purple,3,71.85
2016-01-17,Adam,East,Sunshine,Clear,3,59.85
2016-01-17,Julie,West,Quad,Purple,2,71.0
2016-01-18,Nicole,South,Bellen,Purple,2,63.0
2016-01-18,Julie,East,Sunbell,Red,4,95.0
2016-01-18,Nabil,South,Bellen,Blue,2,48.9
2016-01-19,Mike,West,Sunshine,Clear,3,62.85
2016-01-19,Julie,East,Doublers,Rainbow,2,154.9
2016-01-19,Adam,West,Quad,Clear,2,71.0
2016-01-19,Julie,East,Sunshine,Blue,1,22.95
2016-01-20,Jessica,South,Quad,Red,2,69.0
2016-01-20,Mike,West,Quad,Rainbow,4,135.0
2016-01-20,Nabil,West,Carlota,Clear,8,186.6
2016-01-21,Nabil,East,Quad,Purple,1,35.0
2016-01-21,Adam,East,Aspen,Red,2,41.0
2016-01-21,Nabil,South,Quad,Blue,1,36.0
2016-01-21,Adam,West,Bellen,Rainbow,1,25.95
2016-01-22,Nicole,East,Doublers,Red,3,242.85
2016-01-22,Nabil,West,Quad,Red,2,71.0
2016-01-22,Nabil,West,Carlota,Red,2,48.9
2016-01-22,Julie,East,Sunshine,Blue,2,42.9
2016-01-22,Nicole,West,Doublers,Red,1,26.5
2016-01-22,Nicole,West,Bellen,Red,1,25.95
2016-01-23,Nabil,South,Sunbell,Purple,1,29.5
2016-01-23,Jessica,South,Doublers,Clear,2,50.0
2016-01-23,Mike,East,Bellen,Purple,3,71.85
2016-01-23,Julie,West,Carlota,Red,1,25.95
2016-01-24,Nicole,East,Sunshine,Blue,1,21.95
2016-01-25,Mike,East,Carlota,Red,2,46.9
2016-01-25,Nicole,West,Quad,Purple,1,37.0
2016-01-25,Julie,South,Bellen,Clear,2,48.9
2016-01-25,Julie,South,Aspen,Purple,2,43.0
2016-01-25,Mike,South,Doublers,Rainbow,3,236.85
2016-01-26,Mike,South,Aspen,Red,13,299.4
2016-01-26,Julie,West,Sunshine,Blue,2,42.9
2016-01-26,Nicole,South,Carlota,Red,2,48.9
2016-01-26,Mike,East,Carlota,Clear,1,24.95
2016-01-26,Adam,East,Bellen,Rainbow,1,32.0
2016-01-26,Julie,West,Bellen,Clear,4,119.0
2016-01-26,Nabil,West,Sunbell,Rainbow,1,28.0
2016-01-26,Adam,East,Aspen,Clear,4,79.0
2016-01-27,Julie,East,Quad,Clear,1,21.0
2016-01-27,Jessica,West,Doublers,Rainbow,3,73.5
2016-01-27,Mike,East,Carlota,Purple,3,68.85
2016-01-27,Mike,South,Bellen,Clear,1,25.95
2016-01-28,Julie,East,Carlota,Red,2,48.9
2016-01-28,Adam,East,Bellen,Rainbow,1,24.95
2016-01-28,Julie,East,Aspen,Blue,2,43.0
2016-01-28,Mike,East,Sunshine,Clear,4,78.8
2016-01-28,Mike,West,Sunbell,Blue,1,27.0
2016-01-29,Nicole,West,Quad,Clear,1,36.0
2016-01-29,Jessica,East,Quad,Blue,3,99.0
2016-01-29,Jessica,South,Aspen,Red,2,51.0
2016-01-29,Jessica,West,Sunbell,Clear,17,406.75
2016-01-29,Adam,West,Sunbell,Red,2,53.0
2016-01-29,Nabil,West,Sunbell,Red,3,75.0
2016-01-30,Mike,East,Carlota,Red,1,24.95
2016-01-30,Nabil,South,Quad,Blue,3,102.0
2016-01-30,Mike,West,Aspen,Red,3,78.0
2016-01-30,Mike,East,Sunbell,Clear,3,75.0
2016-01-30,Mike,East,Sunbell,Red,2,51.0
2016-01-30,Julie,West,Quad,Clear,2,71.0
2016-01-30,Julie,East,Bellen,Red,2,46.9
2016-01-31,Adam,East,Doublers,Rainbow,13,293.29
2016-01-31,Nabil,South,Sunbell,Purple,2,53.0
2016-01-31,Julie,South,Quad,Rainbow,2,69.0
2016-01-31,Mike,East,Aspen,Clear,3,75.0
2016-01-31,Julie,West,Sunshine,Clear,3,62.85
2016-02-01,Adam,East,Sunbell,Blue,2,51.0
2016-02-01,Julie,East,Quad,Blue,2,67.0
2016-02-01,Mike,West,Carlota,Purple,2,48.9
2016-02-01,Julie,East,Aspen,Blue,2,41.0
2016-02-02,Jessica,South,Sunshine,Rainbow,1,22.95
2016-02-02,Mike,West,Carlota,Red,1,25.95
2016-02-02,Nabil,East,Bellen,Clear,17,471.35
2016-02-02,Nicole,West,Sunshine,Clear,2,42.9
2016-02-02,Adam,South,Quad,Rainbow,3,102.0
2016-02-02,Mike,West,Carlota,Purple,20,439.0
2016-02-02,Mike,West,Carlota,Blue,3,71.85
2016-02-02,Nabil,West,Sunbell,Rainbow,1,27.0
2016-02-03,Nicole,West,Bellen,Red,3,71.85
2016-02-03,Nicole,South,Aspen,Clear,1,23.0
2016-02-03,Mike,East,Quad,Red,2,67.0
2016-02-04,Mike,West,Doublers,Red,2,50.0
2016-02-04,Mike,West,Bellen,Red,25,691.75
2016-02-04,Julie,South,Carlota,Blue,3,71.85
2016-02-04,Jessica,East,Quad,Red,3,99.0
2016-02-05,Julie,South,Carlota,Blue,2,48.9
2016-02-05,Nicole,West,Quad,Red,16,519.8
2016-02-05,Nicole,West,Carlota,Purple,3,71.85
2016-02-05,Nabil,West,Bellen,Clear,18,516.0
2016-02-05,Jessica,South,Doublers,Clear,3,70.5
2016-02-06,Julie,West,Quad,Clear,21,382.05
2016-02-07,Jessica,South,Carlota,Clear,2,48.9
2016-02-07,Jessica,West,Doublers,Red,3,73.5
2016-02-07,Adam,East,Quad,Blue,1,36.0
2016-02-08,Jessica,East,Sunbell,Red,1,27.0
2016-02-08,Jessica,West,Bellen,Purple,2,48.9
2016-02-09,Julie,East,Quad,Red,1,35.0
2016-02-09,Nicole,East,Quad,Blue,23,724.05
2016-02-09,Nicole,South,Doublers,Blue,1,25.5
2016-02-10,Julie,West,Doublers,Red,2,50.0
2016-02-10,Nabil,East,Doublers,Blue,3,73.5
2016-02-10,Nabil,West,Quad,Clear,1,36.0
2016-02-10,Adam,West,Sunshine,Clear,1,22.95
2016-02-11,Julie,East,Sunshine,Clear,1,21.95
2016-02-11,Jessica,West,Sunshine,Red,2,42.9
2016-02-12,Adam,West,Quad,Red,3,102.0
2016-02-12,Jessica,South,Quad,Clear,3,102.0
2016-02-12,Mike,West,Sunbell,Red,15,345.0
2016-02-12,Nabil,East,Carlota,Blue,2,46.9
2016-02-13,Julie,East,Bellen,Blue,2,48.9
2016-02-13,Mike,South,Bellen,Red,3,90.0
2016-02-13,Nabil,West,Carlota,Blue,1,25.95
2016-02-13,Julie,West,Bellen,Rainbow,3,71.85
2016-02-13,Nabil,West,Aspen,Clear,3,78.0
2016-02-14,Nabil,West,Sunbell,Clear,1,30.5
2016-02-14,Mike,West,Quad,Red,14,441.9
2016-02-14,Jessica,East,Carlota,Purple,1,25.95
2016-02-14,Nabil,South,Bellen,Rainbow,3,71.85
2016-02-14,Nicole,West,Bellen,Blue,3,71.85
2016-02-15,Julie,East,Carlota,Clear,2,48.9
2016-02-15,Julie,East,Doublers,Purple,2,50.0
2016-02-15,Nabil,West,Aspen,Rainbow,3,66.0
2016-02-15,Nicole,East,Doublers,Rainbow,2,50.0
2016-02-15,Jessica,South,Bellen,Clear,1,25.95
2016-02-15,Jessica,South,Carlota,Rainbow,2,48.9
2016-02-16,Nicole,South,Bellen,Clear,4,94.8
2016-02-16,Jessica,East,Sunbell,Clear,2,58.0
2016-02-17,Nabil,East,Carlota,Clear,3,71.85
2016-02-17,Mike,South,Quad,Clear,1,36.0
2016-02-17,Mike,West,Sunbell,Rainbow,4,99.0
2016-02-17,Julie,South,Carlota,Clear,5,117.75
2016-02-18,Jessica,South,Sunbell,Red,1,30.5
2016-02-18,Nabil,West,Bellen,Red,2,48.9
2016-02-18,Jessica,East,Bellen,Red,1,32.0
2016-02-18,Jessica,South,Sunbell,Clear,19,436.2
2016-02-18,Julie,West,Aspen,Purple,16,383.0
2016-02-18,Jessica,West,Sunshine,Blue,3,62.85
2016-02-19,Julie,South,Doublers,Purple,2,158.9
2016-02-19,Jessica,West,Doublers,Blue,2,50.0
2016-02-19,Mike,East,Sunbell,Blue,2,51.0
2016-02-19,Julie,South,Quad,Clear,1,36.0
2016-02-20,Adam,East,Sunbell,Blue,3,75.0
2016-02-20,Nicole,West,Quad,Blue,3,105.0
2016-02-20,Nabil,West,Aspen,Clear,1,24.0
2016-02-20,Adam,West,Quad,Red,3,105.0
2016-02-20,Jessica,East,Bellen,Red,3,68.85
2016-02-20,Nabil,South,Doublers,Red,1,25.5
2016-02-21,Jessica,East,Quad,Purple,2,69.0
2016-02-21,Julie,East,Bellen,Purple,1,25.95
2016-02-21,Nicole,South,Sunbell,Red,3,75.0
2016-02-21,Mike,West,Aspen,Rainbow,1,23.0
2016-02-21,Julie,West,Sunshine,Blue,2,42.9
2016-02-21,Adam,West,Bellen,Rainbow,3,90.0
